# **영상 프레임에서 읽은 것**의 대장 — 확인 대장(user_confirmations.csv)과 다른 파일이다.
#
# 왜 갈랐나
# ---------
# 영상 프레임 판독으로 얻은 근거와, 직접 오락실에서 확인한 근거는 신뢰도가 다르다.
# 둘을 같은 칸에 두면 구별이 안 된다.
#
# 이 파일의 것은 지도에서 **「영상 판독」**으로 따로 표시된다. 확인칸(파란색)이 아니다.
날짜,존,번호,밀림,신뢰도,프레임수,근거
2026-08-26,D13,,0,,,"프레임 4장 · 신뢰도 확실. z_D13_003_nolja_0808_1878.png 에서 왼쪽부터 「…넌스」(잘림, 못 읽음) · 「RANDOM DOUBLE 13 / ???」 · 「하이웨이 체이서」 · [선택칸 003/084] · 「얼티밋 아이즈」 · 「베르사이유」 · 「더 ㅇ…」(잘림, 더 아포칼립스로 보이나 못 읽음 처리). RANDOM 이 절대 닻이라 RANDOM=001 · 하이웨이 체이서=002 · 선택칸=003 이고, 우리 표 1 —(RANDOM) · 2 하이웨이 체이서 · 3 번 아웃 · 4 얼티밋 아이즈 · 5 베르사이유 와 그대로 맞는다. z_D1"
2026-08-26,D14,,0,,,"프레임 4장 · 신뢰도 확실. z_D14_001_nolja_0808_1882.png 에서 왼쪽부터 잘린 1장(못 읽음) · 「스위트 원더랜드」 · 「어 사이트 데 라 루」 · [선택칸 = RANDOM DOUBLE 14, 카운터 001/062, 제목줄 「???  / ??? / BPM ???」 = 커서 앉음] · 「풀 문」 · 「응징 레스토랑」(NEW) · 잘린 1장. RANDOM=001 닻이므로 오른쪽이 002 풀 문 · 003 응징 레스토랑, 왼쪽은 감겨서 062 어 사이트 데 라 루 · 061 스위트 원더랜드. 우리 표 2 풀 문 · 3 응징 레스토랑 과 61"
2026-08-26,D19,,0,,,"프레임 4장 · 신뢰도 확실. z_D19_015_nolja_0825_27211.png 은 커서가 앉아 제목줄에 「사이먼 세이즈, 유로댄스!! (feat. Sara☆M) / Jehezukiel☆KAZEMURA☆Hideky / BPM 157」 이 떠 있고 카운터가 015/118 — 우리 표 15 와 이름이 그대로 같다. 그 프레임 타일은 왼쪽부터 「…스텝!」(플레이버 스텝!, 잘림) · 「머독」 · 「리틀 먼치킨」 · [선택 015] · 「바버스 매드니스」 · 「록시아」 · 「솔브…」 로 표 12~18 과 연속 일치. z_D19_001_sngl_0811_4598.p"
2026-08-26,D20,,0,,,"프레임 4장 · 신뢰도 보통. z_D20_090_nolja_0814_5069.png — 하단 난이도 칩이 「20」 하나뿐이라 D20 채널이 맞다. 왼쪽부터 [잘림] · 트란사칼리아 · 슈가 플럼 · [선택칸, 흐린 제목 「텔링 포츈 플라워」] · 니알라토텝 · 금혼식 · 까르멘 버스. 우리 표(level_zone_order.csv, D20) 28 트란사칼리아 · 29 슈가 플럼 · 30 텔링 포츈 플라워 · 31 니알라토텝 · 32 금혼식 · 33 까르멘 버스 와 6/6 일치. || 나머지 3장은 D20 캐러셀이 아니다. z_D20_001_nolja_0814_5"
2026-08-26,D23,,0,,,프레임 1장 · 신뢰도 보통. z_D23_006_sngl_0810_3709.png — 칩 「23」 하나(레벨채널). 왼쪽부터 [잘림] · 404 (뉴 에라)[NEW] · 체이스 미 · [선택칸: 카운터 「006/106」] · 더 라스트 리벨리온[NEW] · 사월의 축제 · 이터(널 유니버스). 선택칸이 체이스 미와 더 라스트 리벨리온 사이이므로 타일 번호 = 5. 우리 표 3 404 (뉴 에라) · 4 체이스 미 · 5 엔조이 더 쇼 · 6 더 라스트 리벨리온 · 7 사월의 축제 · 8 이터널 유니버스 와 5/5 일치. 카운터 006 은 타일보다 한 칸 앞선 값
2026-08-26,PHOENIX,,0,,,"프레임 1장 · 신뢰도 보통. z_PHOENIX_020_nolja_0808_8938.png — 칩이 7개(빨강 08·14·18·22 + 초록 15·19·24)라 레벨채널이 아니라 버전존 캐러셀이다. 왼쪽부터 [잘림] · 4NT · 얼티밋 아이즈 · [선택칸 — 자켓은 분홍머리 소녀, 제목 글자는 흐려서 못 읽음] · 벡터 · 베르사이유 · 더 아포칼(립스). 우리 PHOENIX 표(arcade_zone_final_merged.csv) 9 4NT · 10 얼티밋 아이즈 · 11 냥-턴 (feat. KuTiNA) · 12 벡터 · 13 베르사이유 · 14 더 아포칼"
2026-08-26,PRIME,,0,,,"프레임 4장 · 신뢰도 확실. z_PRIME_072_nolja_0803_2145.png — 카운터 「073/076」이 또렷하고 상단 곡 제목줄에 「배드 애플!! feat. Nomico - FULL SONG - / Masayoshi Minoshima / BPM 138」이 떠 있다. 우리 PRIME 표 73번 = 배드 애플!! feat. Nomico - FULL SONG - 로 정확히 같고, 총수 076 도 우리 표 76칸과 같다. 좌우도 [퀸 오브 더 레]드 · 아이디얼라이즈드 로맨스 · 저스트 홀드 온 (To All … · [073] · 셀피쉬니스 - SHORT"
2026-08-26,S11,,0,,,"프레임 1장 · 신뢰도 보통 · 적대적 반증 통과. z_S11_076_nolja_0803_3808.png 왼쪽부터: (부분) …PIU E… · 컨플릭트 · 팔랑크스 ""RS2018 e… · [선택 칸 카운터 077/107] · 브레인 파워 · 모페모페 · (부분) 폴… . 우리 표 74 브로큰 카르마 (PIU EDIT) · 75 컨플릭트 · 76 팔랑크스 ""RS2018 edit"" · 77 포인트 제로 2 · 78 브레인 파워 · 79 모페모페 · 80 폴른 엔젤 과 여섯 칸이 그대로 겹친다(선택 칸 이름은 카운터에 가려 안 보이나 좌우가 74·75·76 / 78·79·80 이라 선택 "
2026-08-26,S14,,0,,,"프레임 4장 · 신뢰도 확실 · 적대적 반증 통과. z_S14_064_nolja_0803_1579.png · z_S14_063_nolja_0803_1587.png — 두 장 다 상단에 곡 제목줄 «크리스마스의 기억 / Warak / BPM 170» 이 떠 있는 정지 프레임이고 선택 칸 카운터는 064/065. 왼쪽부터: (부분, 자켓에 LUDWIG VA… 글자 · 이름은 잘려 못 읽음) · 히페리온 · 사월 · [064 = 크리스마스의 기억] · 아스테리오스 -리엔트리- · RANDOM SINGLE 14 (???) · NEW 고민중독. 우리 표 62 히페리온 · 63 사월 · 64 "
2026-08-26,S16,,0,,,"프레임 4장 · 신뢰도 확실 · 적대적 반증 통과. z_S16_018_nolja_0803_3750.png — 정지 프레임(제목줄 「유포리아닉 / SHK / BPM 140」), 중앙 카운터 018/176. 왼쪽부터 …(Ku)TiNA)[냥-턴] · 베르사이유 · 더 아포칼립스 · [018] · 할로윈 파티 ~Multive… · 그로스 = 우리 표 15·16·17·18·19·20 그대로. || z_S16_002_nolja_0803_3492.png — 중앙이 RANDOM SINGLE 16, 카운터 002/176(스크롤 중이라 +1 앞섬), 오른쪽 뱅 뱅 · 404 (뉴 에라) · 조(깅) "
2026-08-26,S17,,0,,,"프레임 4장 · 신뢰도 확실. z_S17_013_nolja_0803_11629.png — 정지 프레임(제목줄 「쇼다운 / litmus* / BPM 130」), 중앙 카운터 013/177. 왼쪽부터 …(디그니)티 · 응징 레스토랑 · 번 아웃 · [013] · 붐!! · 쥬핀 = 우리 표 10·11·12·13·14·15 그대로. || z_S17_015_nolja_0803_11456.png — 스크롤(카운터 미표시), 응징 레스토랑 · 번 아웃 · 쇼다운 · 붐!! · 쥬핀 · 추격 = 표 11~16 연속. || z_S17_017_nolja_0803_11457.pn"
2026-08-26,S22,,0,,,"프레임 4장 · 신뢰도 확실. z_S22_001_nolja_0814_3360.png — 배지 22, 중앙이 RANDOM SINGLE 22 이고 카운터 001/092(확대: crop_s22_tiles.png). 오른쪽 고민중독 · 디그니티 · 블…= 표 2·3·4(블레이저), 왼쪽은 되감김으로 도나텔로 · 베들램 = 표 92·91. 총수 092 와 우리 표의 마지막 92 도나텔로가 맞는다. || z_S22_017_nolja_0814_3550.png — 스크롤(카운터 미표시), 솔페지에토 · 머독 · 바버스 매드니스 · 임페리움 · 네오 카타르시스 · 열정 = 표 "
2026-08-26,S4,,0,,,"프레임 4장 · 신뢰도 확실 · 적대적 반증 통과. z_S4_062_nolja_0814_1826.png — 제목줄 「클리너 / Doin / BPM 203」 + 카운터 061/154, 왼쪽부터 루시드(PIU Edit) · 팔로우 미 · [061 선택칸] · 리얼리티 · 테이크 아웃 · 버(터플라이) → 우리 표 59·60·61·62·63·64 와 그대로 일치. | z_S4_033_nolja_0814_1821.png — 카운터 033/154, 왼쪽부터 (트로피카)닉 · 슈퍼 카프리시오 · 갓 모드 feat. skizzo · [033] · 사라반드 · 가장신자 · 아르(카나 포스) → 표"
2026-08-26,S5,,0,,,"프레임 6장 · 신뢰도 확실 · 적대적 반증 통과. z_S5_059_nolja_0814_1859.png — 제목줄 「프리 스타일 / BanYa / BPM 99」 + 카운터 058/080, 왼쪽부터 (라)푸스 · 태동 · 님과 함께 · [058 선택칸] · 펌핑업 · 바이너리 스타 · 얼(라이브) → 표 55~61 일치. z_S5_058_nolja_0814_1858.png 은 같은 화면(제목줄만 없음). | z_S5_016_nolja_0814_1849.png — 카운터 016/080, (블루)이쉬 로즈 · 스위트로닉 · 금혼식 · [016] · 디 엔드 오브 더 월드 ft. … · 더"
2026-08-26,S6,,0,,,"프레임 1장 · 신뢰도 보통 · 적대적 반증 통과. z_S6_002_nolja_0814_1866.png — 선택칸이 RANDOM SINGLE 06 이고 카운터 001/098, 제목줄은 「??? / ??? BPM ???」(커서 정지 상태). 오른쪽으로 고민중독 · 뱅 뱅 → 우리 표 1(—) · 2 고민중독 · 3 뱅 뱅 과 일치(3배 확대 대조). RANDOM 왼쪽은 아스테리오스 -리엔트리- · 킬 뎀! · (잘림, 못 읽음)로 목록 끝쪽이며 우리 표가 그 범위를 안 줘서 대조 못 함."
