존,번호,곡,근거,등급
D10,10,트리튬,사용자 확인(대부분 8/14 영상 눈판독) — D10 의 10·11 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 10~11 전체의 밀림이 없다,구간확정(미검증)
D10,11,패싱 라이더,사용자 확인(대부분 8/14 영상 눈판독) — D10 의 10·11 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 10~11 전체의 밀림이 없다,구간확정(미검증)
D10,18,엘리시움,사용자 확인(대부분 8/14 영상 눈판독) — D10 의 18·19 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~19 전체의 밀림이 없다,구간확정(미검증)
D10,19,레퀴엠,사용자 확인(대부분 8/14 영상 눈판독) — D10 의 18·19 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~19 전체의 밀림이 없다,구간확정(미검증)
D10,27,아마이 유우와쿠 데인저러스,사용자 확인(대부분 8/14 영상 눈판독) — D10 의 27 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 27~27 전체의 밀림이 없다,구간확정(미검증)
D11,9,아이올라이트 스카이,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 9·10 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~10 전체의 밀림이 없다,구간확정(미검증)
D11,10,스타드림 (feat. Romelon),사용자 확인(대부분 8/14 영상 눈판독) — D11 의 9·10 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~10 전체의 밀림이 없다,구간확정(미검증)
D11,17,설탕음모론,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 17·18 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 17~18 전체의 밀림이 없다,구간확정(미검증)
D11,18,포인트 제로 원,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 17·18 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 17~18 전체의 밀림이 없다,구간확정(미검증)
D11,25,테프리스,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 25·26·27 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 25~27 전체의 밀림이 없다,구간확정(미검증)
D11,26,블레이즈 이모션,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 25·26·27 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 25~27 전체의 밀림이 없다,구간확정(미검증)
D11,27,카프리스 오브 오타다,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 25·26·27 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 25~27 전체의 밀림이 없다,구간확정(미검증)
D11,34,라이프 이즈 피아노,사용자 확인(대부분 8/14 영상 눈판독) — D11 의 34 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 34~34 전체의 밀림이 없다,구간확정(미검증)
D12,9,아이스 오브 데스,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,10,아드레날린 블래스터,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,11,위키드 레전드,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,12,캉-캉 ~Orpheus in The Party Mix~,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,13,슈퍼 카프리시오,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,14,가장신자,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,15,왈츠 오브 도지,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,16,네메시스,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,17,캇코이,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,18,차이니즈 레스토랑,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,19,헤스티아,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 9·10·11·12·13·14 외 5 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 9~19 전체의 밀림이 없다,구간확정(미검증)
D12,26,유니크,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,27,로그인,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,28,오버블로우,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,29,안녕 윌리엄,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
